issue_year,volume,issue,article_id,publication_date,online_date,supplementary_asset_count,code_asset_count,status
2022,4,5,s42256-022-00480-w,2022/05,2022/05/19,1,0,ok
2022,4,5,s42256-022-00482-8,2022/05,2022/05/16,14,0,ok
2022,4,5,s42256-022-00483-7,2022/05,2022/05/23,2,0,ok
2022,4,5,s42256-022-00487-3,2022/05,2022/05/30,7,0,ok
2022,4,5,s42256-022-00489-1,2022/05,2022/05/23,0,0,ok
2022,4,5,s42256-022-00491-7,2022/05,2022/05/10,0,0,ok
2022,4,5,s42256-022-00496-2,2022/05,2022/05/30,0,0,ok
2022,4,6,s42256-022-00488-2,2022/06,2022/06/22,0,0,ok
2022,4,6,s42256-022-00490-8,2022/06,2022/05/30,3,0,ok
2022,4,6,s42256-022-00492-6,2022/06,2022/06/02,2,1,ok
2022,4,6,s42256-022-00493-5,2022/06,2022/06/16,1,0,ok
2022,4,6,s42256-022-00494-4,2022/06,2022/06/22,1,0,ok
2022,4,6,s42256-022-00495-3,2022/06,2022/06/22,2,0,ok
2022,4,6,s42256-022-00497-1,2022/06,2022/05/24,0,0,ok
2022,4,6,s42256-022-00498-0,2022/06,2022/06/22,2,0,ok
2022,4,6,s42256-022-00499-z,2022/06,2022/06/22,0,0,ok
2022,4,6,s42256-022-00500-9,2022/06,2022/06/22,3,0,ok
2022,4,6,s42256-022-00504-5,2022/06,2022/06/14,0,0,ok
2022,4,6,s42256-022-00507-2,2022/06,2022/06/22,0,0,ok
2022,4,7,s42256-022-00501-8,2022/07,2022/06/23,1,0,ok
2022,4,7,s42256-022-00502-7,2022/07,2022/07/04,8,0,ok
2022,4,7,s42256-022-00503-6,2022/07,2022/06/30,13,0,ok
2022,4,7,s42256-022-00505-4,2022/07,2022/07/18,3,0,ok
2022,4,7,s42256-022-00508-1,2022/07,2022/07/11,0,0,ok
2022,4,7,s42256-022-00509-0,2022/07,2022/07/20,1,0,ok
2022,4,7,s42256-022-00511-6,2022/07,2022/07/12,0,0,ok
2022,4,7,s42256-022-00512-5,2022/07,2022/07/20,0,0,ok
2022,4,7,s42256-022-00513-4,2022/07,2022/07/20,0,0,ok
2022,4,7,s42256-022-00514-3,2022/07,2022/07/20,0,0,ok
2022,4,7,s42256-022-00517-0,2022/07,2022/07/20,0,0,ok
2022,4,8,s42256-022-00506-3,2022/08,2022/08/04,0,0,ok
2022,4,8,s42256-022-00510-7,2022/08,2022/07/21,8,0,ok
2022,4,8,s42256-022-00515-2,2022/08,2022/08/25,1,0,ok
2022,4,8,s42256-022-00516-1,2022/08,2022/08/17,1,0,ok
2022,4,8,s42256-022-00518-z,2022/08,2022/08/25,6,0,ok
2022,4,8,s42256-022-00519-y,2022/08,2022/08/30,2,0,ok
2022,4,8,s42256-022-00521-4,2022/08,2022/08/09,0,0,ok
2022,4,8,s42256-022-00522-3,2022/08,2022/07/20,0,0,ok
2022,4,8,s42256-022-00523-2,2022/08,2022/08/12,0,0,ok
2022,4,8,s42256-022-00524-1,2022/08,2022/08/03,0,0,ok
2022,4,8,s42256-022-00529-w,2022/08,2022/08/30,0,0,ok
2022,4,9,s42256-022-00520-5,2022/09,2022/09/08,1,0,ok
2022,4,9,s42256-022-00525-0,2022/09,2022/09/15,1,0,ok
2022,4,9,s42256-022-00526-z,2022/09,2022/09/15,1,0,ok
2022,4,9,s42256-022-00527-y,2022/09,2022/09/15,3,0,ok
2022,4,9,s42256-022-00528-x,2022/09,2022/09/16,0,0,ok
2022,4,9,s42256-022-00530-3,2022/09,2022/09/16,17,0,ok
2022,4,9,s42256-022-00531-2,2022/09,2022/09/22,9,0,ok
2022,4,9,s42256-022-00533-0,2022/09,2022/09/22,0,0,ok
2022,4,9,s42256-022-00539-8,2022/09,2022/09/22,0,0,ok
2022,4,10,s42256-022-00532-1,2022/10,2022/09/26,1,0,ok
2022,4,10,s42256-022-00534-z,2022/10,2022/09/26,9,0,ok
2022,4,10,s42256-022-00535-y,2022/10,2022/10/06,0,0,ok
2022,4,10,s42256-022-00536-x,2022/10,2022/10/10,2,0,ok
2022,4,10,s42256-022-00537-w,2022/10,2022/09/29,0,0,ok
2022,4,10,s42256-022-00538-9,2022/10,2022/10/21,4,2,ok
2022,4,10,s42256-022-00540-1,2022/10,2022/10/03,2,0,ok
2022,4,10,s42256-022-00541-0,2022/10,2022/10/17,4,0,ok
2022,4,10,s42256-022-00543-y,2022/10,2022/10/17,9,0,ok
2022,4,10,s42256-022-00544-x,2022/10,2022/10/17,0,0,ok
2022,4,10,s42256-022-00546-9,2022/10,2022/10/07,0,0,ok
2022,4,10,s42256-022-00548-7,2022/10,2022/09/21,0,0,ok
2022,4,10,s42256-022-00554-9,2022/10,2022/10/21,0,0,ok
2022,4,11,s42256-022-00542-z,2022/11,2022/11/07,1,0,ok
2022,4,11,s42256-022-00545-w,2022/11,2022/10/27,2,0,ok
2022,4,11,s42256-022-00547-8,2022/11,2022/10/31,1,0,ok
2022,4,11,s42256-022-00549-6,2022/11,2022/11/15,0,0,ok
2022,4,11,s42256-022-00550-z,2022/11,2022/10/24,2,0,ok
2022,4,11,s42256-022-00551-y,2022/11,2022/11/15,0,0,ok
2022,4,11,s42256-022-00552-x,2022/11,2022/11/15,1,0,ok
2022,4,11,s42256-022-00553-w,2022/11,2022/11/07,4,0,ok
2022,4,11,s42256-022-00556-7,2022/11,2022/11/15,0,0,ok
2022,4,11,s42256-022-00557-6,2022/11,2022/11/17,21,0,ok
2022,4,11,s42256-022-00558-5,2022/11,2022/11/15,0,0,ok
2022,4,11,s42256-022-00559-4,2022/11,2022/11/15,0,0,ok
2022,4,11,s42256-022-00560-x,2022/11,2022/11/16,2,0,ok
2022,4,11,s42256-022-00561-w,2022/11,2022/11/15,3,0,ok
2022,4,11,s42256-022-00562-9,2022/11,2022/11/07,0,0,ok
2022,4,11,s42256-022-00565-6,2022/11,2022/10/19,0,0,ok
2022,4,11,s42256-022-00578-1,2022/11,2022/11/17,0,0,ok
2022,4,11,s42256-022-00586-1,2022/11,2022/11/15,0,0,ok
2022,4,12,s42256-022-00555-8,2022/12,2022/12/08,1,0,ok
2022,4,12,s42256-022-00563-8,2022/12,2022/12/01,5,0,ok
2022,4,12,s42256-022-00564-7,2022/12,2022/12/05,1,0,ok
2022,4,12,s42256-022-00566-5,2022/12,2022/12/08,2,0,ok
2022,4,12,s42256-022-00567-4,2022/12,2022/11/25,0,0,ok
2022,4,12,s42256-022-00568-3,2022/12,2022/12/05,1,0,ok
2022,4,12,s42256-022-00569-2,2022/12,2022/12/01,1,0,ok
2022,4,12,s42256-022-00570-9,2022/12,2022/12/05,5,0,ok
2022,4,12,s42256-022-00571-8,2022/12,2022/12/14,9,0,ok
2022,4,12,s42256-022-00572-7,2022/12,2022/12/12,0,0,ok
2022,4,12,s42256-022-00573-6,2022/12,2022/12/14,0,0,ok
2022,4,12,s42256-022-00574-5,2022/12,2022/12/08,7,0,ok
2022,4,12,s42256-022-00575-4,2022/12,2022/12/08,2,0,ok
2022,4,12,s42256-022-00576-3,2022/12,2022/12/14,9,0,ok
2022,4,12,s42256-022-00577-2,2022/12,2022/12/19,10,0,ok
2022,4,12,s42256-022-00579-0,2022/12,2022/12/12,1,0,ok
2022,4,12,s42256-022-00580-7,2022/12,2022/12/21,1,0,ok
2022,4,12,s42256-022-00581-6,2022/12,2022/12/14,11,0,ok
2022,4,12,s42256-022-00582-5,2022/12,2022/12/07,0,0,ok
2022,4,12,s42256-022-00585-2,2022/12,2022/12/14,0,0,ok
2022,4,12,s42256-022-00591-4,2022/12,2022/12/20,0,0,ok
2022,4,12,s42256-022-00592-3,2022/12,2022/12/19,0,0,ok
2022,4,12,s42256-022-00597-y,2022/12,2022/11/29,0,0,ok
2022,4,12,s42256-022-00598-x,2022/12,2022/12/19,0,0,ok
2023,5,1,s42256-022-00583-4,2023/01,2023/01/25,2,0,ok
2023,5,1,s42256-022-00584-3,2023/01,2023/01/16,2,0,ok
2023,5,1,s42256-022-00587-0,2023/01,2022/12/30,0,0,ok
2023,5,1,s42256-022-00588-z,2023/01,2022/12/30,0,0,ok
2023,5,1,s42256-022-00589-y,2023/01,2022/12/30,0,0,ok
2023,5,1,s42256-022-00590-5,2023/01,2022/12/30,0,0,ok
2023,5,1,s42256-022-00593-2,2023/01,2023/01/23,2,0,ok
