File,Unique Keywords Found,Total Matches,Text Length,Keywords Matched,Match Details
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00923-6/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_923_MOESM1_ESM_pdf.md,0,0,2300,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00925-4/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_925_MOESM1_ESM_pdf.md,0,0,3918,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00927-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_927_MOESM1_ESM_pdf.md,0,0,44439,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00928-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_928_MOESM1_ESM_pdf.md,0,0,21493,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00930-7/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_930_MOESM1_ESM_pdf.md,0,0,12372,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00931-6/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_931_MOESM1_ESM_pdf.md,0,0,25067,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00932-5/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_932_MOESM1_ESM_pdf.md,0,0,28627,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00571-8/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_571_MOESM1_ESM_pdf.md,0,0,12557,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00574-5/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_574_MOESM1_ESM_pdf.md,0,0,26581,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00575-4/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_575_MOESM1_ESM_pdf.md,0,0,43496,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00576-3/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_576_MOESM1_ESM_pdf.md,0,0,4700,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00577-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_577_MOESM1_ESM_pdf.md,0,0,6678,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00579-0/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_579_MOESM1_ESM_pdf.md,0,0,17140,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00580-7/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_580_MOESM1_ESM_pdf.md,0,0,30899,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2022/s42256-022-00581-6/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_581_MOESM1_ESM_pdf.md,0,0,1606,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2023/s42256-022-00583-4/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_583_MOESM1_ESM_pdf.md,1,1,23576,openai,openai: 1
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2023/s42256-022-00584-3/01_supplementary_information_Supplementary_Information_download_PDF_42256_2022_584_MOESM1_ESM_pdf.md,0,0,32631,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00854-2/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_854_MOESM1_ESM_pdf.md,0,0,6654,,
/home/aipexws3/Jessica/Dataset_Ghost/PDFs/MachineIntelligenceSupplementaryCode/SI_md_output/2024/s42256-024-00855-1/01_supplementary_information_Supplementary_Information_download_PDF_42256_2024_855_MOESM1_ESM_pdf.md,0,0,55761,,
